id,shares
id_29644,4583
id_29645,1147
id_29646,1917
id_29647,2287
id_29648,1917
id_29649,7374
id_29650,2018
id_29651,6051
id_29652,1994
id_29653,3480
id_29654,1120
id_29655,3190
id_29656,6635
id_29657,2464
id_29658,6384
id_29659,1758
id_29660,1366
id_29661,1676
id_29662,2848
id_29663,1730
id_29664,4547
id_29665,2165
id_29666,2435
id_29667,3454
id_29668,2301
id_29669,8654
id_29670,6814
id_29671,4791
id_29672,2628
id_29673,4699
id_29674,7883
id_29675,1244
id_29676,3302
id_29677,28906
id_29678,2055
id_29679,1206
id_29680,1710
id_29681,13802
id_29682,7484
id_29683,2428
id_29684,4716
id_29685,1392
id_29686,4585
id_29687,2058
id_29688,1730
id_29689,1169
id_29690,5643
id_29691,2187
id_29692,1074
id_29693,3922
id_29694,6312
id_29695,3198
id_29696,2223
id_29697,1873
id_29698,2102
id_29699,2852
id_29700,4324
id_29701,1560
id_29702,1747
id_29703,2252
id_29704,2127
id_29705,9462
id_29706,6176
id_29707,5957
id_29708,1048
id_29709,2750
id_29710,1410
id_29711,1959
id_29712,2317
id_29713,2141
id_29714,2852
id_29715,11545
id_29716,6828
id_29717,1201
id_29718,5614
id_29719,6133
id_29720,2578
id_29721,5625
id_29722,5298
id_29723,2533
id_29724,1850
id_29725,3850
id_29726,2006
id_29727,5687
id_29728,3424
id_29729,2645
id_29730,1467
id_29731,2391
id_29732,1015
id_29733,4783
id_29734,10407
id_29735,2040
id_29736,2475
id_29737,1154
id_29738,7851
id_29739,8339
id_29740,3264
id_29741,1485
id_29742,982
id_29743,1491
id_29744,12475
id_29745,961
id_29746,2988
id_29747,2590
id_29748,2420
id_29749,1744
id_29750,3056
id_29751,6825
id_29752,3017
id_29753,1489
id_29754,2494
id_29755,17478
id_29756,3583
id_29757,2582
id_29758,5230
id_29759,1445
id_29760,2205
id_29761,11939
id_29762,24696
id_29763,3512
id_29764,1333
id_29765,3578
id_29766,5954
id_29767,2355
id_29768,3095
id_29769,6750
id_29770,1447
id_29771,3625
id_29772,7253
id_29773,2984
id_29774,1740
id_29775,2764
id_29776,2376
id_29777,3268
id_29778,2869
id_29779,5246
id_29780,6148
id_29781,2665
id_29782,5118
id_29783,6340
id_29784,16616
id_29785,2754
id_29786,3290
id_29787,2388
id_29788,2515
id_29789,2095
id_29790,2570
id_29791,7177
id_29792,3352
id_29793,3182
id_29794,1593
id_29795,2194
id_29796,2095
id_29797,3399
id_29798,2887
id_29799,10664
id_29800,1516
id_29801,3857
id_29802,4789
id_29803,9969
id_29804,2456
id_29805,2415
id_29806,2548
id_29807,5424
id_29808,9624
id_29809,2847
id_29810,2276
id_29811,1587
id_29812,1178
id_29813,1550
id_29814,2810
id_29815,16511
id_29816,3430
id_29817,6372
id_29818,1229
id_29819,6236
id_29820,1650
id_29821,21494
id_29822,3007
id_29823,1022
id_29824,2969
id_29825,5784
id_29826,3854
id_29827,5981
id_29828,4922
id_29829,1992
id_29830,7136
id_29831,4483
id_29832,3512
id_29833,1546
id_29834,7028
id_29835,1461
id_29836,2837
