STATE;STATENAME;ST_CASE;VE_TOTAL;VE_FORMS;PVH_INVL;PEDS;PERSONS;PERMVIT;PERNOTMVIT;COUNTY;COUNTYNAME;CITY;CITYNAME;DAY;DAYNAME;MONTH;MONTHNAME;YEAR;DAY_WEEK;DAY_WEEKNAME;HOUR;HOURNAME;MINUTE;MINUTENAME;NHS;NHSNAME;ROUTE;ROUTENAME;TWAY_ID;TWAY_ID2;RUR_URB;RUR_URBNAME;FUNC_SYS;FUNC_SYSNAME;RD_OWNER;RD_OWNERNAME;MILEPT;MILEPTNAME;LATITUDE;LATITUDENAME;LONGITUD;LONGITUDNAME;SP_JUR;SP_JURNAME;HARM_EV;HARM_EVNAME;MAN_COLL;MAN_COLLNAME;RELJCT1;RELJCT1NAME;RELJCT2;RELJCT2NAME;TYP_INT;TYP_INTNAME;WRK_ZONE;WRK_ZONENAME;REL_ROAD;REL_ROADNAME;LGT_COND;LGT_CONDNAME;WEATHER1;WEATHER1NAME;WEATHER2;WEATHER2NAME;WEATHER;WEATHERNAME;SCH_BUS;SCH_BUSNAME;RAIL;RAILNAME;NOT_HOUR;NOT_HOURNAME;NOT_MIN;NOT_MINNAME;ARR_HOUR;ARR_HOURNAME;ARR_MIN;ARR_MINNAME;HOSP_HR;HOSP_HRNAME;HOSP_MN;HOSP_MNNAME;CF1;CF1NAME;CF2;CF2NAME;CF3;CF3NAME;FATALS;DRUNK_DR
43;Puerto Rico;430001;1;1;0;1;1;1;1;72;PUERTO RICO (72);820;RIO GRANDE;3;3;1;January;2018;4;Wednesday;7;7:00am-7:59am;40;40;1;This section IS ON the NHS;1;Interstate;I-3;;1;Rural;1;Interstate;1;State Highway Agency;308;308;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;7;7:00am-7:59am;40;40;7;7:00am-7:59am;45;45;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430002;1;1;0;1;1;1;1;72;PUERTO RICO (72);360;DORADO;3;3;1;January;2018;4;Wednesday;21;9:00pm-9:59pm;20;20;0;This section IS NOT on the NHS;4;County Road;CR-2;;2;Urban;3;Principal Arterial - Other;2;County Highway Agency;248;248;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430003;2;2;0;0;3;3;0;72;PUERTO RICO (72);820;RIO GRANDE;3;3;1;January;2018;4;Wednesday;23;11:00pm-11:59pm;55;55;1;This section IS ON the NHS;4;County Road;CR-3;;2;Urban;3;Principal Arterial - Other;2;County Highway Agency;232;232;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;23;11:00pm-11:59pm;55;55;12;12:00pm-12:59pm;5;5;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430004;1;1;0;1;1;1;1;72;PUERTO RICO (72);930;SAN JUAN;5;5;1;January;2018;6;Friday;11;11:00am-11:59am;46;46;0;This section IS NOT on the NHS;4;County Road;CR-MONFORTE ST;;2;Urban;5;Major Collector;2;County Highway Agency;0;None;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430005;1;1;0;1;1;1;1;72;PUERTO RICO (72);30;AGUADILLA;5;5;1;January;2018;6;Friday;23;11:00pm-11:59pm;50;50;1;This section IS ON the NHS;1;Interstate;I-2;;1;Rural;1;Interstate;1;State Highway Agency;1195;1195;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430006;1;1;0;1;1;1;1;72;PUERTO RICO (72);750;PENUELAS, PENUELAS;6;6;1;January;2018;7;Saturday;18;6:00pm-6:59pm;45;45;0;This section IS NOT on the NHS;4;County Road;CR-132;;1;Rural;6;Minor Collector;2;County Highway Agency;89;89;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430007;2;2;0;0;2;2;0;72;PUERTO RICO (72);30;AGUADILLA;7;7;1;January;2018;1;Sunday;0;0:00am-0:59am;5;5;0;This section IS NOT on the NHS;4;County Road;CR-111;;1;Rural;4;Minor Arterial;2;County Highway Agency;20;20;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;8;Sideswipe - Opposite Direction;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430008;1;1;0;1;1;1;1;72;PUERTO RICO (72);600;LOIZA, LOIZA;13;13;1;January;2018;7;Saturday;5;5:00am-5:59am;15;15;0;This section IS NOT on the NHS;4;County Road;CR-187;;1;Rural;4;Minor Arterial;2;County Highway Agency;234;234;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430009;1;1;0;1;1;1;1;72;PUERTO RICO (72);90;ARECIBO;17;17;1;January;2018;4;Wednesday;5;5:00am-5:59am;50;50;0;This section IS NOT on the NHS;4;County Road;CR-PALMA ST;INT PASEO DE DIEGO;2;Urban;5;Major Collector;2;County Highway Agency;0;None;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;1;Yes;2;Intersection;3;T-Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;2;Rain;0;No Additional Atmospheric Conditions;2;Rain;0;No;0;Not Applicable;6;6:00am-6:59am;0;0;6;6:00am-6:59am;10;10;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430010;1;1;0;1;1;1;1;72;PUERTO RICO (72);430;GUAYAMA;19;19;1;January;2018;6;Friday;6;6:00am-6:59am;0;0;0;This section IS NOT on the NHS;4;County Road;CR-54;;1;Rural;3;Principal Arterial - Other;2;County Highway Agency;15;15;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
